代码,    名称,涨幅%,现价,涨跌,涨速%,DDE净量,总手,换手%,量比,买入信号,利好,利空,所属行业,现手,开盘,昨收,最高,最低,买价,卖价,市盈(动),市净率,买量,卖量,委比%,振幅%,金额,均笔额,笔数,手/笔,外盘,内盘,总市值,流通市值,贡献度
SH600310,桂东电力,10,12.98,1.18,0,-0.55,28432135,10.3,5.39,0,无,无,电力,1000↓,12.9,11.8,12.98,12.22,12.98,--,--,--,2683535,0,100,6.44,367980860,41069.29,8960,3173,8903118,19529017,--,--,--
SZ300359,全通教育,10,69.43,6.31,0,0.79,2892179,11.83,1.24,5,无,无,传媒,540↓,63.01,63.12,69.43,63,69.43,--,--,--,145116,0,100,10.19,195647210,27610.39,7086,408,1766454,1125725,--,--,--
SH603111,康尼机电,9.99,12,1.09,0,0,79400,0.11,0.59,1,无,无,非汽车交运,500↓,12,10.91,12,12,12,--,--,--,25332700,0,100,0,952800,8741.28,109,728,0,79400,--,--,--
SZ300388,国祯环保,9.98,21.15,1.92,0,0,21400,0.097,0.65,1,无,无,环保工程,600↓,21.15,19.23,21.15,21.15,21.15,--,--,--,9221200,0,100,0,452610,7543.5,60,357,0,21400,--,--,--
SZ300276,三丰智能,9.98,12.89,1.17,0,7.95,16457988,17.87,2,5,有,无,专用设备,13300↓,11.72,11.72,12.89,11.72,12.89,--,--,--,4152678,0,100,9.98,207108900,18920.97,10946,1504,6005604,10452384,--,--,--
SZ002121,科陆电子,9.98,11.13,1.01,0,2.32,30006874,11.22,2.46,8,有,无,电气设备,2000↓,11.07,10.12,11.13,10.7,11.13,--,--,--,1969479,0,100,4.25,331020560,26945.1,12285,2443,11447981,18558893,--,--,--
SZ300354,东华测试,9.98,19.84,1.8,0,1.89,4999678,17.87,5.33,11,无,无,金属制品,4100↓,18.6,18.04,19.84,18.6,19.84,--,--,--,5052492,0,100,6.87,98554573,65790.77,1498,3338,1207013,3792665,--,--,--
SZ002476,宝莫股份,9.98,9.15,0.83,0,2.28,46856893,7.79,3.79,3,无,无,化学制品,299740↓,8.33,8.32,9.15,8.27,9.15,--,--,--,10171593,0,100,10.58,412306500,22436.01,18377,2550,19766985,27089908,--,--,--
SZ000960,锡业股份,9.97,13.68,1.24,0,-0.03,887769,0.077,0.08,0,无,无,有色冶炼加工,551↓,13.68,12.44,13.68,13.68,13.68,--,--,--,61992031,0,100,0,12144680,14667.49,828,1072,0,887769,--,--,--
SZ000677,恒天海龙,9.97,3.42,0.31,0,1.81,56344553,6.52,4.17,9,有,无,化工合成材料,13100↓,3.11,3.11,3.42,3.11,3.42,--,--,--,1909660,0,100,9.97,190710450,19138.03,9965,5654,17610598,38733955,--,--,--
SZ000885,同力水泥,9.97,6.62,0.6,0,1.22,11154914,2.61,3.4,2,无,无,建筑材料,44803↓,6.04,6.02,6.62,6.01,6.62,--,--,--,5864041,0,100,10.13,73002980,19410.52,3761,2966,2116003,9038911,--,--,--
SH600096,云天化,9.96,9.27,0.84,0,2.13,43254190,8.3,2.27,0,无,无,化学制品,200↓,8.48,8.43,9.27,8.48,9.27,--,--,--,21354303,0,100,9.37,391617160,26191.62,14952,2893,26626828,16627362,--,--,--
SH600698,湖南天雁,9.96,5.63,0.51,0,0.24,76302064,17.8,4.09,0,无,无,汽车零部件,1000↓,5.62,5.12,5.63,5.4,5.63,--,--,--,8758405,0,100,4.49,427286690,28802.61,14835,5143,26198402,50103662,--,--,--
SH603126,中材节能,9.95,6.63,0.6,0,0,267980,0.335,1.38,0,无,无,环保工程,1000↓,6.63,6.03,6.63,6.63,6.63,--,--,--,62441320,0,100,0,1776707,5517.72,322,832,0,267980,--,--,--
SH600490,鹏欣资源,9.68,9.74,0.86,0,1.08,65493139,7.78,1.23,3,无,无,有色冶炼加工,10300↑,8.9,8.88,9.75,8.88,9.73,9.74,--,--,4900,3000,-86.9,9.8,612052580,38730.15,15803,4144,39791582,25701557,--,--,--
SZ300251,光线传媒,9.53,19.88,1.73,0,1.37,41800563,7.87,3.05,7,无,无,传媒,522973↓,18.15,18.15,19.97,18.01,19.88,19.89,--,--,36027,24247,19.54,10.8,807474350,24093.64,33514,1247,25088995,16711568,--,--,--
SH600213,亚星客车,9.45,9.96,0.86,-0.3,-0.19,4645912,2.11,1.36,2,无,无,汽车整车,19700↓,9.12,9.1,10.01,8.95,9.91,9.99,--,--,9700,13693,-49.03,11.65,44699124,15850.75,2820,1647,2706510,1939402,--,--,--
SZ300126,锐奇股份,9.14,8.96,0.75,0,1.58,16885864,10.73,3.77,8,有,无,通用机械,135609↓,8.21,8.21,9,8.21,8.96,8.97,--,--,79291,97871,-10.49,9.62,147594930,13764.33,10723,1575,10024832,6861032,--,--,--
SZ300281,金明精机,8.83,18.61,1.51,0,0.56,3707371,7.06,1.15,1,无,无,专用设备,23720↓,17.25,17.1,18.81,16.7,18.61,18.62,--,--,3180,3500,-4.79,12.34,66212683,24660.22,2685,1381,2426624,1280747,--,--,--
SZ300253,卫宁软件,8.17,41.97,3.17,-0.05,0.01,4707466,4.04,1.15,6,无,无,计算机应用,85641↓,38.5,38.8,42.24,38.4,41.97,41.98,--,--,39859,45573,-6.69,9.9,190156560,24782.56,7673,614,2402069,2305397,--,--,--
SH600898,三联商社,8.16,6.89,0.52,-0.14,0.17,13265076,5.25,2.48,3,无,无,零售,200↓,6.37,6.37,6.99,6.33,6.87,6.88,--,--,2950,5400,-59.1,10.36,88826931,15163.35,5858,2264,7958456,5306620,--,--,--
SH600203,福日电子,8.08,11.1,0.83,-0.27,-0.45,39142976,16.27,19.3,0,无,无,光学光电子,3300↓,10.79,10.27,11.3,10.61,11.1,11.11,--,--,13950,3750,-77.21,6.72,428631860,18314.47,23404,1672,22075027,17067949,--,--,--
SZ300079,数码视讯,7.55,12.96,0.91,-0.08,1.51,77127340,13.23,3.97,3,有,无,计算机应用,299900↑,12.08,12.05,13.26,11.89,12.95,12.96,--,--,60808,229420,-58.1,11.37,997982030,40499.23,24642,3130,33432219,43695121,--,--,--
SZ300084,海默科技,7.54,24.52,1.72,0,0.82,5811338,5.76,2.44,9,无,无,采掘服务,40200↑,22.78,22.8,24.7,22.71,24.51,24.52,--,--,1909,11750,-72.05,8.73,139302760,22972.09,6064,958,3729217,2082121,--,--,--
SZ002030,达安基因,7.37,23.47,1.61,0.13,-0.38,47836245,9.09,1.64,0,无,无,生物制品,347982↓,21.65,21.86,24,21.01,23.47,23.48,--,--,221518,24580,80.02,13.68,1083017430,24876.37,43536,1099,25008609,22827636,--,--,--
SZ002401,中海科技,7.28,14.3,0.97,0.07,0.52,24039323,8.1,2.06,4,无,无,计算机应用,269500↑,13.79,13.33,14.66,13.53,14.29,14.3,--,--,134400,42196,52.21,8.48,338422430,22286.63,15185,1583,12968080,11071243,--,--,--
SZ002051,中工国际,7.16,17.81,1.19,0,-0.07,16476104,2.16,4.2,7,无,无,建筑装饰,168463↑,17.2,16.62,18.25,17.2,17.8,17.81,--,--,87807,617,98.6,6.32,294465560,28809.86,10221,1612,8852511,7623593,--,--,--
SZ002451,摩恩电气,7.12,8.28,0.55,0.12,-3.87,41757957,21.68,4.25,0,无,无,电气设备,379482↓,8,7.73,8.43,7.77,8.28,8.29,--,--,131218,116099,6.11,8.54,339062460,13407.51,25289,1651,22225304,19532653,--,--,--
SZ300087,荃银高科,7.05,10.94,0.72,0.09,0.66,11956721,10.88,1.16,1,有,无,种植业与林业,140100↑,10.15,10.22,11.19,10.05,10.93,10.94,--,--,26400,19815,14.25,11.15,128632900,18784.01,6848,1746,6147788,5808933,--,--,--
SH600433,冠豪高新,7,11.77,0.77,0,0.22,45568748,4.12,2.97,0,无,无,造纸,700↓,11.13,11,12.1,10.9,11.77,11.78,--,--,6300,10600,-27.14,10.91,528626320,25350.13,20853,2185,26140184,19428564,--,--,--
SZ300309,吉艾科技,6.94,20.8,1.35,0.05,0.52,3865142,5.25,2.33,9,无,无,专用设备,36200↑,19.41,19.45,21.16,19.23,20.79,20.8,--,--,18601,8033,39.68,9.92,78479035,29206.94,2687,1438,2594652,1270490,--,--,--
SH600792,云煤能源,6.82,10.5,0.67,-0.19,-0.08,14212810,11.26,2.78,2,有,无,煤炭开采,4800↓,9.87,9.83,10.81,9.78,10.5,10.51,--,--,144841,14000,20.94,10.48,150283740,19061.86,7884,1803,6275899,7936911,--,--,--
SH600523,贵航股份,6.67,17.27,1.08,0,1.22,22157818,7.68,1.63,5,无,无,汽车零部件,8000↓,16.17,16.19,17.45,16.1,17.28,17.3,--,--,600,96920,-23.94,8.34,375587570,20981.37,17901,1238,13381468,8776350,--,--,--
